=== TOP 500 BIGGEST MARKET CAP ===
No. | Ticker | Company                                      | Sector                 | Industry                                 | Country | Market Cap | P/E     | Price   | Change  | Volume     
12  | TSLA   | Tesla, Inc.                                  | Consumer Cyclical      | Auto Manufacturers                       | USA     | 296.73B    | 771.54  | 1499.11 | 1.53%   | 9,396,012  
13  | UNH    | UnitedHealth Group Incorporated              | Healthcare             | Healthcare Plans                         | USA     | 292.96B    | 17.25   | 306.68  | 2.25%   | 2,672,271  
14  | HD     | The Home Depot, Inc.                         | Consumer Cyclical      | Home Improvement Retail                  | USA     | 283.04B    | 26.30   | 264.66  | -0.23%  | 2,872,076  
15  | NVDA   | NVIDIA Corporation                           | Technology             | Semiconductors                           | USA     | 255.81B    | 78.16   | 418.62  | 2.45%   | 7,089,694  
16  | INTC   | Intel Corporation                            | Technology             | Semiconductors                           | USA     | 242.99B    | 9.30    | 48.07   | -2.38%  | 60,299,932 
17  | VZ     | Verizon Communications Inc.                  | Communication Services | Telecom Services                         | USA     | 233.55B    | 12.93   | 57.45   | -0.05%  | 9,338,514  
18  | PFE    | Pfizer Inc.                                  | Healthcare             | Drug Manufacturers - General             | USA     | 222.43B    | 14.34   | 39.26   | 0.62%   | 35,040,442 
19  | BAC    | Bank of America Corporation                  | Financial              | Banks - Diversified                      | USA     | 220.65B    | 12.14   | 25.27   | 3.74%   | 71,037,426 
20  | PYPL   | PayPal Holdings, Inc.                        | Financial              | Credit Services                          | USA     | 218.35B    | 116.84  | 184.60  | 4.73%   | 14,619,315 
21  | T      | AT&T Inc.                                    | Communication Services | Telecom Services                         | USA     | 212.97B    | 18.06   | 29.56   | -0.44%  | 30,423,878 
22  | NFLX   | Netflix, Inc.                                | Communication Services | Entertainment                            | USA     | 212.39B    | 85.82   | 484.48  | -0.82%  | 6,600,219  
23  | DIS    | The Walt Disney Company                      | Communication Services | Entertainment                            | USA     | 209.73B    | 43.46   | 115.61  | -0.49%  | 9,480,979  
24  | IVV    | iShares Core S&P 500 ETF                     | Financial              | Exchange Traded Fund                     | USA     | 206.42B    | -       | 326.38  | 1.20%   | 2,339,405  
25  | KO     | The Coca-Cola Company                        | Consumer Defensive     | Beverages - Non-Alcoholic                | USA     | 205.37B    | 22.59   | 48.02   | -0.33%  | 13,633,977 
26  | MRK    | Merck & Co., Inc.                            | Healthcare             | Drug Manufacturers - General             | USA     | 202.78B    | 19.96   | 79.35   | -0.43%  | 6,084,684  
27  | CSCO   | Cisco Systems, Inc.                          | Technology             | Communication Equipment                  | USA     | 201.52B    | 17.18   | 46.71   | 0.93%   | 11,608,945 
28  | CMCSA  | Comcast Corporation                          | Communication Services | Entertainment                            | USA     | 196.39B    | 17.39   | 43.90   | 1.60%   | 25,483,740 
29  | PEP    | PepsiCo, Inc.                                | Consumer Defensive     | Beverages - Non-Alcoholic                | USA     | 192.41B    | 28.09   | 137.93  | 0.40%   | 3,178,966  
30  | XOM    | Exxon Mobil Corporation                      | Energy                 | Oil & Gas Integrated                     | USA     | 187.33B    | 17.68   | 44.03   | 1.10%   | 14,074,358 
31  | ABT    | Abbott Laboratories                          | Healthcare             | Medical Devices                          | USA     | 184.77B    | 59.29   | 102.52  | 2.66%   | 4,742,752  
32  | CRM    | salesforce.com, inc.                         | Technology             | Software - Application                   | USA     | 174.49B    | -       | 193.61  | 2.17%   | 3,744,130  
33  | ABBV   | AbbVie Inc.                                  | Healthcare             | Drug Manufacturers - General             | USA     | 172.58B    | 17.17   | 97.01   | 0.31%   | 5,509,457  
34  | ORCL   | Oracle Corporation                           | Technology             | Software - Infrastructure                | USA     | 171.26B    | 18.02   | 55.70   | 0.63%   | 7,242,575  
35  | CVX    | Chevron Corporation                          | Energy                 | Oil & Gas Integrated                     | USA     | 169.80B    | 44.63   | 90.07   | 1.08%   | 6,370,025  
36  | LLY    | Eli Lilly and Company                        | Healthcare             | Drug Manufacturers - General             | USA     | 156.63B    | 26.82   | 161.75  | -0.55%  | 3,103,434  
37  | NKE    | NIKE, Inc.                                   | Consumer Cyclical      | Footwear & Accessories                   | USA     | 150.59B    | 61.41   | 96.97   | 0.73%   | 6,869,746  
38  | AMGN   | Amgen Inc.                                   | Healthcare             | Drug Manufacturers - General             | USA     | 148.90B    | 19.49   | 248.85  | -2.51%  | 3,286,561  
39  | DHR    | Danaher Corporation                          | Healthcare             | Diagnostics & Research                   | USA     | 145.99B    | 51.88   | 202.13  | 1.57%   | 2,995,460  
40  | MCD    | McDonald's Corporation                       | Consumer Cyclical      | Restaurants                              | USA     | 145.03B    | 25.70   | 196.21  | -0.02%  | 3,340,730  
41  | BMY    | Bristol-Myers Squibb Company                 | Healthcare             | Drug Manufacturers - General             | USA     | 138.51B    | 73.11   | 59.15   | -0.47%  | 7,348,896  
42  | TMUS   | T-Mobile US, Inc.                            | Communication Services | Telecom Services                         | USA     | 130.52B    | 26.02   | 105.78  | 1.21%   | 3,605,761  
43  | PM     | Philip Morris International Inc.             | Consumer Defensive     | Tobacco                                  | USA     | 121.19B    | 16.80   | 78.39   | 0.54%   | 4,604,699  
44  | TXN    | Texas Instruments Incorporated               | Technology             | Semiconductors                           | USA     | 120.03B    | 24.69   | 131.64  | 1.16%   | 2,816,976  
45  | UNP    | Union Pacific Corporation                    | Industrials            | Railroads                                | USA     | 120.00B    | 22.11   | 177.98  | 2.05%   | 2,736,568  
46  | IBM    | International Business Machines Corporation  | Technology             | Information Technology Services          | USA     | 112.63B    | 13.97   | 125.32  | 0.68%   | 2,821,896  
47  | LOW    | Lowe's Companies, Inc.                       | Consumer Cyclical      | Home Improvement Retail                  | USA     | 111.87B    | 25.09   | 148.71  | 0.68%   | 2,731,026  
48  | HON    | Honeywell International Inc.                 | Industrials            | Specialty Industrial Machinery           | USA     | 111.61B    | 18.59   | 154.58  | 1.69%   | 3,311,223  
49  | C      | Citigroup Inc.                               | Financial              | Banks - Diversified                      | USA     | 110.20B    | 9.06    | 52.52   | 2.44%   | 16,901,410 
50  | WFC    | Wells Fargo & Company                        | Financial              | Banks - Diversified                      | USA     | 106.57B    | 29.46   | 25.78   | 0.98%   | 31,363,663 
51  | UPS    | United Parcel Service, Inc.                  | Industrials            | Integrated Freight & Logistics           | USA     | 106.45B    | 25.05   | 123.68  | 3.39%   | 6,722,973  
52  | QCOM   | QUALCOMM Incorporated                        | Technology             | Semiconductors                           | USA     | 105.57B    | 27.61   | 93.03   | 1.73%   | 10,450,278 
53  | BA     | The Boeing Company                           | Industrials            | Aerospace & Defense                      | USA     | 95.13B     | -       | 166.01  | -2.83%  | 51,542,209 
54  | GILD   | Gilead Sciences, Inc.                        | Healthcare             | Drug Manufacturers - General             | USA     | 93.97B     | 18.77   | 73.01   | -0.98%  | 8,325,210  
55  | RTX    | Raytheon Technologies Corporation            | Industrials            | Aerospace & Defense                      | USA     | 91.59B     | 12.51   | 59.40   | -2.62%  | 11,109,238 
56  | FIS    | Fidelity National Information Services, Inc. | Technology             | Information Technology Services          | USA     | 90.22B     | 272.05  | 144.73  | 1.47%   | 2,257,485  
57  | SBUX   | Starbucks Corporation                        | Consumer Cyclical      | Restaurants                              | USA     | 89.95B     | 27.55   | 77.42   | 3.72%   | 15,248,088 
58  | MMM    | 3M Company                                   | Industrials            | Specialty Industrial Machinery           | USA     | 89.57B     | 18.33   | 156.25  | 0.59%   | 3,322,635  
59  | NOW    | ServiceNow, Inc.                             | Technology             | Software - Application                   | USA     | 86.13B     | 131.05  | 445.71  | 2.45%   | 2,141,574  
60  | CVS    | CVS Health Corporation                       | Healthcare             | Healthcare Plans                         | USA     | 84.54B     | 11.63   | 64.22   | 1.50%   | 6,372,267  
61  | MDLZ   | Mondelez International, Inc.                 | Consumer Defensive     | Confectioners                            | USA     | 81.08B     | 22.22   | 56.79   | 1.94%   | 9,324,134  
62  | MS     | Morgan Stanley                               | Financial              | Capital Markets                          | USA     | 80.32B     | 9.14    | 50.59   | 0.66%   | 8,070,861  
63  | AXP    | American Express Company                     | Financial              | Credit Services                          | USA     | 78.93B     | 14.65   | 96.69   | 2.40%   | 2,789,952  
64  | PLD    | Prologis, Inc.                               | Real Estate            | REIT - Industrial                        | USA     | 77.62B     | 41.12   | 106.17  | 3.54%   | 3,855,219  
65  | MO     | Altria Group, Inc.                           | Consumer Defensive     | Tobacco                                  | USA     | 76.86B     | -       | 41.63   | -2.09%  | 7,881,699  
66  | AMD    | Advanced Micro Devices, Inc.                 | Technology             | Semiconductors                           | USA     | 76.49B     | 186.95  | 76.09   | 12.54%  | 132,721,779
67  | CAT    | Caterpillar Inc.                             | Industrials            | Farm & Heavy Construction Machinery      | USA     | 75.52B     | 14.91   | 140.53  | 1.81%   | 2,336,309  
68  | ZM     | Zoom Video Communications, Inc.              | Communication Services | Telecom Services                         | USA     | 72.63B     | 1394.42 | 252.39  | 0.08%   | 3,322,377  
69  | CCI    | Crown Castle International Corp. (REIT)      | Real Estate            | REIT - Specialty                         | USA     | 72.49B     | 98.34   | 173.87  | 1.22%   | 2,452,674  
70  | GS     | The Goldman Sachs Group, Inc.                | Financial              | Capital Markets                          | USA     | 70.20B     | 10.75   | 202.58  | 0.48%   | 2,632,187  
71  | D      | Dominion Energy, Inc.                        | Utilities              | Utilities - Diversified                  | USA     | 69.21B     | 38.33   | 82.26   | 0.24%   | 2,935,906  
72  | FISV   | Fiserv, Inc.                                 | Technology             | Information Technology Services          | USA     | 68.91B     | 55.94   | 101.36  | 1.47%   | 2,143,576  
73  | BX     | The Blackstone Group Inc.                    | Financial              | Asset Management                         | USA     | 66.66B     | 74.51   | 55.14   | 1.83%   | 2,108,395  
74  | CI     | Cigna Corporation                            | Healthcare             | Healthcare Plans                         | USA     | 66.38B     | 13.97   | 181.80  | 3.44%   | 2,116,031  
75  | CL     | Colgate-Palmolive Company                    | Consumer Defensive     | Household & Personal Products            | USA     | 65.19B     | 25.97   | 76.20   | 0.65%   | 3,185,866  
76  | TJX    | The TJX Companies, Inc.                      | Consumer Cyclical      | Apparel Retail                           | USA     | 63.60B     | 38.65   | 52.60   | 1.58%   | 3,923,123  
77  | DUK    | Duke Energy Corporation                      | Utilities              | Utilities - Regulated Electric           | USA     | 63.35B     | 16.73   | 84.97   | 0.44%   | 2,466,550  
78  | ATVI   | Activision Blizzard, Inc.                    | Communication Services | Electronic Gaming & Multimedia           | USA     | 62.27B     | 40.18   | 81.20   | 0.59%   | 2,955,925  
79  | TGT    | Target Corporation                           | Consumer Defensive     | Discount Stores                          | USA     | 61.16B     | 23.00   | 123.68  | 0.32%   | 2,085,571  
80  | AMAT   | Applied Materials, Inc.                      | Technology             | Semiconductor Equipment & Materials      | USA     | 60.85B     | 20.14   | 63.25   | 1.52%   | 4,602,032  
81  | ADP    | Automatic Data Processing, Inc.              | Industrials            | Staffing & Employment Services           | USA     | 59.56B     | 23.51   | 137.12  | -6.50%  | 5,227,748  
82  | SO     | The Southern Company                         | Utilities              | Utilities - Regulated Electric           | USA     | 59.25B     | 16.64   | 55.39   | 0.20%   | 3,245,996  
83  | CME    | CME Group Inc.                               | Financial              | Financial Data & Stock Exchanges         | USA     | 59.19B     | 24.76   | 164.88  | -0.67%  | 2,170,006  
84  | GE     | General Electric Company                     | Industrials            | Specialty Industrial Machinery           | USA     | 59.16B     | 10.75   | 6.59    | -4.35%  | 147,689,076
85  | MU     | Micron Technology, Inc.                      | Technology             | Semiconductors                           | USA     | 58.92B     | 25.19   | 50.39   | 0.60%   | 14,643,690 
86  | SQ     | Square, Inc.                                 | Technology             | Software - Infrastructure                | USA     | 57.19B     | 278.85  | 128.55  | 4.08%   | 8,562,121  
87  | BSX    | Boston Scientific Corporation                | Healthcare             | Medical Devices                          | USA     | 56.63B     | 303.89  | 39.81   | 4.02%   | 15,921,765 
88  | USB    | U.S. Bancorp                                 | Financial              | Banks - Regional                         | USA     | 56.57B     | 11.85   | 37.71   | 3.83%   | 6,522,372  
89  | ECL    | Ecolab Inc.                                  | Basic Materials        | Specialty Chemicals                      | USA     | 56.21B     | 36.68   | 194.83  | 0.57%   | 2,338,738  
90  | UBER   | Uber Technologies, Inc.                      | Technology             | Software - Application                   | USA     | 55.88B     | -       | 31.02   | 0.68%   | 8,185,282  
91  | CSX    | CSX Corporation                              | Industrials            | Railroads                                | USA     | 55.20B     | 19.33   | 71.92   | 2.60%   | 3,882,734  
92  | LRCX   | Lam Research Corporation                     | Technology             | Semiconductor Equipment & Materials      | USA     | 53.76B     | 25.95   | 360.83  | 3.41%   | 2,111,116  
93  | NEM    | Newmont Corporation                          | Basic Materials        | Gold                                     | USA     | 53.69B     | 15.44   | 67.89   | -1.02%  | 7,324,357  
94  | TFC    | Truist Financial Corporation                 | Financial              | Banks - Regional                         | USA     | 51.88B     | 12.41   | 38.34   | 3.99%   | 4,399,235  
95  | ICE    | Intercontinental Exchange, Inc.              | Financial              | Financial Data & Stock Exchanges         | USA     | 51.35B     | 25.20   | 94.30   | 1.49%   | 2,476,276  
96  | NSC    | Norfolk Southern Corporation                 | Industrials            | Railroads                                | USA     | 49.39B     | 20.97   | 192.82  | 4.17%   | 2,315,292  
97  | PNC    | The PNC Financial Services Group, Inc.       | Financial              | Banks - Regional                         | USA     | 46.44B     | 19.39   | 108.95  | 3.93%   | 2,601,574  
98  | BAX    | Baxter International Inc.                    | Healthcare             | Medical Instruments & Supplies           | USA     | 46.29B     | 59.38   | 90.73   | 1.65%   | 2,212,747  
99  | FDX    | FedEx Corporation                            | Industrials            | Integrated Freight & Logistics           | USA     | 44.67B     | 34.63   | 169.55  | 1.57%   | 4,622,175  
100 | HCA    | HCA Healthcare, Inc.                         | Healthcare             | Medical Care Facilities                  | USA     | 44.33B     | 13.38   | 129.78  | 4.70%   | 2,429,181  
101 | SCHW   | The Charles Schwab Corporation               | Financial              | Capital Markets                          | USA     | 44.21B     | 13.28   | 34.08   | 1.25%   | 6,587,413  
102 | KDP    | Keurig Dr Pepper Inc.                        | Consumer Defensive     | Beverages - Non-Alcoholic                | USA     | 43.89B     | 37.62   | 31.26   | 1.20%   | 2,714,256  
103 | KHC    | The Kraft Heinz Company                      | Consumer Defensive     | Packaged Foods                           | USA     | 43.69B     | 22.80   | 35.57   | 0.91%   | 6,763,425  
104 | ADI    | Analog Devices, Inc.                         | Technology             | Semiconductors                           | USA     | 43.26B     | 39.23   | 117.53  | 1.82%   | 3,943,775  
105 | COP    | ConocoPhillips                               | Energy                 | Oil & Gas E&P                            | USA     | 43.02B     | 12.51   | 39.94   | 2.52%   | 6,300,754  
106 | AEP    | American Electric Power Company, Inc.        | Utilities              | Utilities - Regulated Electric           | USA     | 42.34B     | 22.77   | 84.80   | 0.07%   | 2,919,955  
107 | DD     | DuPont de Nemours, Inc.                      | Basic Materials        | Chemicals                                | USA     | 41.34B     | -       | 55.52   | 2.78%   | 4,230,766  
108 | EPD    | Enterprise Products Partners L.P.            | Energy                 | Oil & Gas Midstream                      | USA     | 40.64B     | 8.76    | 18.48   | 1.04%   | 11,360,852 
109 | DOCU   | DocuSign, Inc.                               | Technology             | Software - Application                   | USA     | 39.90B     | -       | 209.15  | 6.31%   | 4,522,110  
110 | GIS    | General Mills, Inc.                          | Consumer Defensive     | Packaged Foods                           | USA     | 39.72B     | 18.10   | 64.37   | -0.26%  | 2,130,997  
111 | CNC    | Centene Corporation                          | Healthcare             | Healthcare Plans                         | USA     | 38.55B     | 33.44   | 66.34   | 3.29%   | 2,945,268  
112 | EMR    | Emerson Electric Co.                         | Industrials            | Specialty Industrial Machinery           | USA     | 38.47B     | 17.34   | 63.74   | 2.36%   | 2,748,536  
113 | EXC    | Exelon Corporation                           | Utilities              | Utilities - Diversified                  | USA     | 38.41B     | 12.15   | 38.56   | 1.55%   | 5,405,057  
114 | EBAY   | eBay Inc.                                    | Consumer Cyclical      | Internet Retail                          | USA     | 38.34B     | 25.23   | 54.53   | -3.23%  | 14,236,782 
115 | TWLO   | Twilio Inc.                                  | Communication Services | Internet Content & Information           | USA     | 37.96B     | -       | 264.62  | 5.94%   | 3,221,010  
116 | GM     | General Motors Company                       | Consumer Cyclical      | Auto Manufacturers                       | USA     | 37.77B     | 7.92    | 25.89   | -1.67%  | 28,775,781 
117 | WBA    | Walgreens Boots Alliance, Inc.               | Healthcare             | Pharmaceutical Retailers                 | USA     | 35.52B     | 50.44   | 41.16   | 1.18%   | 4,970,604  
118 | MET    | MetLife, Inc.                                | Financial              | Insurance - Life                         | USA     | 35.42B     | 4.12    | 38.68   | 2.90%   | 6,735,952  
119 | CTSH   | Cognizant Technology Solutions Corporation   | Technology             | Information Technology Services          | USA     | 35.18B     | 20.28   | 64.79   | 3.43%   | 4,798,646  
120 | LVS    | Las Vegas Sands Corp.                        | Consumer Cyclical      | Resorts & Casinos                        | USA     | 34.25B     | 101.19  | 44.32   | 0.23%   | 4,645,608  
121 | KMI    | Kinder Morgan, Inc.                          | Energy                 | Oil & Gas Midstream                      | USA     | 33.41B     | 201.81  | 14.53   | 2.90%   | 9,002,559  
122 | SNAP   | Snap Inc.                                    | Communication Services | Internet Content & Information           | USA     | 33.37B     | -       | 22.90   | 1.37%   | 13,097,600 
123 | BK     | The Bank of New York Mellon Corporation      | Financial              | Asset Management                         | USA     | 32.46B     | 8.03    | 36.35   | 0.78%   | 5,471,631  
124 | DOW    | Dow Inc.                                     | Basic Materials        | Chemicals                                | USA     | 32.40B     | -       | 43.52   | 2.11%   | 3,185,671  
125 | ROST   | Ross Stores, Inc.                            | Consumer Cyclical      | Apparel Retail                           | USA     | 32.05B     | 34.28   | 88.43   | 2.97%   | 2,371,278  
126 | MRNA   | Moderna, Inc.                                | Healthcare             | Biotechnology                            | USA     | 31.72B     | -       | 79.51   | -2.43%  | 24,394,730 
127 | KKR    | KKR & Co. Inc.                               | Financial              | Asset Management                         | USA     | 30.66B     | -       | 35.91   | 2.72%   | 2,484,343  
128 | TWTR   | Twitter, Inc.                                | Communication Services | Internet Content & Information           | USA     | 29.86B     | -       | 37.16   | 1.50%   | 10,657,806 
129 | CDNS   | Cadence Design Systems, Inc.                 | Technology             | Software - Application                   | USA     | 29.65B     | 29.18   | 105.97  | 1.85%   | 2,253,787  
130 | PSX    | Phillips 66                                  | Energy                 | Oil & Gas Refining & Marketing           | USA     | 28.69B     | 83.54   | 65.58   | 3.15%   | 2,447,524  
131 | AIG    | American International Group, Inc.           | Financial              | Insurance - Diversified                  | USA     | 28.64B     | 6.64    | 32.67   | 5.56%   | 10,061,615 
132 | YUM    | Yum! Brands, Inc.                            | Consumer Cyclical      | Restaurants                              | USA     | 28.46B     | 26.49   | 94.83   | 2.24%   | 2,775,788  
133 | OTIS   | Otis Worldwide Corporation                   | Industrials            | Specialty Industrial Machinery           | USA     | 28.29B     | -       | 64.30   | 6.67%   | 4,875,852  
134 | EOG    | EOG Resources, Inc.                          | Energy                 | Oil & Gas E&P                            | USA     | 28.12B     | 13.34   | 48.50   | 2.60%   | 3,015,769  
135 | F      | Ford Motor Company                           | Consumer Cyclical      | Auto Manufacturers                       | USA     | 27.92B     | -       | 6.92    | -1.28%  | 59,305,504 
136 | KR     | The Kroger Co.                               | Consumer Defensive     | Grocery Stores                           | USA     | 27.64B     | 13.37   | 35.11   | -0.34%  | 5,554,536  
137 | SYY    | Sysco Corporation                            | Consumer Defensive     | Food Distribution                        | USA     | 27.41B     | 20.40   | 53.99   | 0.92%   | 2,632,886  
138 | MTCH   | IAC/InterActiveCorp                          | Communication Services | Internet Content & Information           | USA     | 26.85B     | 52.36   | 102.79  | 4.42%   | 4,458,037  
139 | PEG    | Public Service Enterprise Group Incorporated | Utilities              | Utilities - Diversified                  | USA     | 26.81B     | 18.50   | 52.59   | 0.34%   | 2,120,851  
140 | PAYX   | Paychex, Inc.                                | Industrials            | Staffing & Employment Services           | USA     | 26.75B     | 24.18   | 73.55   | 0.56%   | 2,300,595  
141 | FAST   | Fastenal Company                             | Industrials            | Industrial Distribution                  | USA     | 26.72B     | 32.08   | 46.55   | 2.60%   | 3,372,672  
142 | SLB    | Schlumberger Limited                         | Energy                 | Oil & Gas Equipment & Services           | USA     | 26.72B     | -       | 19.43   | 1.46%   | 7,428,286  
143 | AFL    | Aflac Incorporated                           | Financial              | Insurance - Life                         | USA     | 26.35B     | 9.19    | 36.50   | 0.58%   | 3,894,229  
144 | XLNX   | Xilinx, Inc.                                 | Technology             | Semiconductors                           | USA     | 26.33B     | 34.68   | 107.82  | 2.87%   | 2,501,024  
145 | PRU    | Prudential Financial, Inc.                   | Financial              | Insurance - Life                         | USA     | 26.15B     | 9.09    | 65.48   | 2.18%   | 2,807,884  
146 | MPC    | Marathon Petroleum Corporation               | Energy                 | Oil & Gas Refining & Marketing           | USA     | 26.07B     | -       | 39.91   | 4.70%   | 5,091,635  
147 | SIRI   | Sirius XM Holdings Inc.                      | Communication Services | Broadcasting                             | USA     | 25.81B     | 25.81   | 5.91    | -0.67%  | 27,385,269 
148 | FTV    | Fortive Corporation                          | Technology             | Scientific & Technical Instruments       | USA     | 25.33B     | 46.82   | 73.60   | 3.62%   | 3,780,276  
149 | CRWD   | CrowdStrike Holdings, Inc.                   | Technology             | Software - Infrastructure                | USA     | 24.74B     | -       | 112.92  | 6.80%   | 5,164,948  
150 | HPQ    | HP Inc.                                      | Technology             | Computer Hardware                        | USA     | 24.65B     | 8.54    | 17.08   | 2.28%   | 12,305,009 
151 | GLW    | Corning Incorporated                         | Technology             | Electronic Components                    | USA     | 24.47B     | 91.89   | 31.61   | 4.53%   | 7,232,920  
152 | DHI    | D.R. Horton, Inc.                            | Consumer Cyclical      | Residential Construction                 | USA     | 24.26B     | 13.14   | 66.60   | 3.13%   | 3,528,450  
153 | CARR   | Carrier Global Corporation                   | Industrials            | Building Products & Equipment            | USA     | 24.22B     | -       | 27.18   | 4.26%   | 12,649,413 
154 | K      | Kellogg Company                              | Consumer Defensive     | Packaged Foods                           | USA     | 24.21B     | 23.69   | 70.94   | 0.04%   | 2,634,663  
155 | VLO    | Valero Energy Corporation                    | Energy                 | Oil & Gas Refining & Marketing           | USA     | 24.21B     | 60.66   | 59.69   | 4.92%   | 4,490,573  
156 | WMB    | The Williams Companies, Inc.                 | Energy                 | Oil & Gas Midstream                      | USA     | 24.12B     | 160.73  | 19.77   | 4.77%   | 9,811,707  
157 | ADM    | Archer-Daniels-Midland Company               | Consumer Defensive     | Farm Products                            | USA     | 23.94B     | 15.54   | 42.92   | 0.77%   | 2,713,178  
158 | WELL   | Welltower Inc.                               | Real Estate            | REIT - Healthcare Facilities             | USA     | 23.06B     | 53.30   | 54.69   | 2.92%   | 2,851,920  
159 | CERN   | Cerner Corporation                           | Healthcare             | Health Information Services              | USA     | 22.45B     | 45.62   | 73.41   | 3.19%   | 2,210,394  
160 | LEN    | Lennar Corporation                           | Consumer Cyclical      | Residential Construction                 | USA     | 22.09B     | 10.91   | 72.68   | 3.27%   | 2,353,052  
161 | CTVA   | Corteva, Inc.                                | Basic Materials        | Agricultural Inputs                      | USA     | 21.67B     | 121.56  | 28.81   | 2.20%   | 2,837,709  
162 | WY     | Weyerhaeuser Company                         | Real Estate            | REIT - Specialty                         | USA     | 21.40B     | 58.33   | 28.35   | 4.04%   | 5,790,412  
163 | EIX    | Edison International                         | Utilities              | Utilities - Regulated Electric           | USA     | 20.56B     | 15.61   | 53.78   | -2.41%  | 2,281,391  
164 | SPG    | Simon Property Group, Inc.                   | Real Estate            | REIT - Retail                            | USA     | 20.46B     | 10.14   | 65.59   | 2.26%   | 3,797,683  
165 | PPL    | PPL Corporation                              | Utilities              | Utilities - Regulated Electric           | USA     | 20.31B     | 10.67   | 26.21   | 1.12%   | 4,999,737  
166 | EQR    | Equity Residential                           | Real Estate            | REIT - Residential                       | USA     | 20.12B     | 17.06   | 53.59   | -1.96%  | 3,298,716  
167 | AMTD   | TD Ameritrade Holding Corporation            | Financial              | Capital Markets                          | USA     | 20.07B     | 10.31   | 36.82   | 1.10%   | 2,022,118  
168 | CHWY   | Chewy, Inc.                                  | Consumer Cyclical      | Internet Retail                          | USA     | 19.76B     | -       | 47.59   | 2.74%   | 9,244,526  
169 | MPLX   | MPLX LP                                      | Energy                 | Oil & Gas Midstream                      | USA     | 19.62B     | -       | 18.57   | 3.17%   | 3,607,948  
170 | FCX    | Freeport-McMoRan Inc.                        | Basic Materials        | Copper                                   | USA     | 19.61B     | -       | 13.30   | 0.53%   | 13,407,667 
171 | LUV    | Southwest Airlines Co.                       | Industrials            | Airlines                                 | USA     | 19.41B     | 93.23   | 31.79   | -1.55%  | 11,077,127 
172 | PTON   | Peloton Interactive, Inc.                    | Consumer Cyclical      | Leisure                                  | USA     | 19.03B     | -       | 66.65   | 3.96%   | 4,382,881  
173 | MXIM   | Maxim Integrated Products, Inc.              | Technology             | Semiconductors                           | USA     | 18.73B     | 23.54   | 69.90   | 1.39%   | 3,207,006  
174 | CAG    | Conagra Brands, Inc.                         | Consumer Defensive     | Packaged Foods                           | USA     | 18.43B     | 21.88   | 37.63   | 0.91%   | 2,340,253  
175 | ROKU   | Roku, Inc.                                   | Communication Services | Entertainment                            | USA     | 18.17B     | -       | 151.57  | 1.90%   | 4,592,163  
176 | AKAM   | Akamai Technologies, Inc.                    | Technology             | Software - Infrastructure                | USA     | 18.11B     | 36.81   | 110.68  | -1.17%  | 3,852,184  
177 | PCG    | PG&E Corporation                             | Utilities              | Utilities - Regulated Electric           | USA     | 18.07B     | -       | 9.20    | 2.91%   | 24,380,666 
178 | ET     | Energy Transfer LP                           | Energy                 | Oil & Gas Midstream                      | USA     | 17.89B     | 9.35    | 6.67    | 6.89%   | 28,483,525 
179 | DISH   | DISH Network Corporation                     | Communication Services | Entertainment                            | USA     | 17.54B     | 16.05   | 33.42   | 0.88%   | 2,090,073  
